Results,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39
Time in s,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.
0.000000,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.008330,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.016660,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.024990,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.033320,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.041650,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.049980,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.058310,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.066640,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.074970,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.083300,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.091630,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.099960,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.108290,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
0.116620,1.046634,1.048731,1.038354,1.029590,1.045041,1.049080,1.041965,1.039761,1.049993,1.050015,1.048453,1.032472,1.044775,1.035807,1.028007,1.033789,1.035481,1.035300,1.050030,0.993545,1.034212,1.046638,1.037163,1.036634,1.049968,1.050036,1.039553,1.039660,1.033855,1.027219,1.041230,1.012995,0.998248,1.009907,1.050000,1.050000,1.024364,0.995453,1.037112
